Time[sec], DTG[m], V(tas)[m/s], vRate[m/s], x[m], y[m], h[m], gs[fps]
288,187998.89029,232.405,-0.000,156276.79268,52861.35784,10668.00000,660.93381
289,187797.15995,232.671,-0.000,156075.06535,52860.25665,10668.00000,661.84493
290,187595.15300,232.936,-0.000,155873.06132,52859.16989,10668.00000,662.75247
291,187392.87057,233.201,-0.000,155670.78174,52858.09635,10668.00000,663.65624
292,187190.31387,233.464,-0.000,155468.22782,52857.03462,10668.00000,664.55613
293,186987.48407,233.727,-0.000,155265.40075,52855.98322,10668.00000,665.45209
294,186784.38239,233.989,-0.000,155062.30173,52854.94063,10668.00000,666.34412
295,186581.01000,234.249,-0.000,154858.93198,52853.90539,10668.00000,667.23226
296,186377.36809,234.509,-0.000,154655.29265,52852.87612,10668.00000,668.11655
297,186173.45780,234.768,-0.000,154451.38493,52851.85154,10668.00000,668.99705
298,185969.28027,235.026,-0.000,154247.20993,52850.83047,10668.00000,669.87383
299,185764.83661,235.283,-0.000,154042.76880,52849.81188,10668.00000,670.74697
300,185560.12790,235.539,-0.000,153838.06260,52848.79483,10668.00000,671.61653
301,185355.15523,235.794,-0.000,153633.09243,52847.77851,10668.00000,672.48258
302,185149.91963,236.049,-0.000,153427.85933,52846.76220,10668.00000,673.34519
303,184944.42214,236.302,-0.000,153222.36435,52845.74529,10668.00000,674.20441
304,184738.66378,236.554,-0.000,153016.60848,52844.72727,10668.00000,675.06030
305,184532.64554,236.806,-0.000,152810.59275,52843.70770,10668.00000,675.91291
306,184326.36841,237.056,-0.000,152604.31814,52842.68622,10668.00000,676.76228
307,184119.83337,237.306,-0.000,152397.78562,52841.66252,10668.00000,677.60846
308,183913.04138,237.555,-0.000,152190.99615,52840.63636,10668.00000,678.45148
309,183705.99339,237.802,-0.000,151983.95070,52839.60756,10668.00000,679.29136
310,183498.69034,238.049,-0.000,151776.65021,52838.57596,10668.00000,680.12815
311,183291.13318,238.295,-0.000,151569.09561,52837.54146,10668.00000,680.96186
312,183083.32283,238.540,-0.000,151361.28784,52836.50398,10668.00000,681.79252
313,182875.26023,238.784,-0.000,151153.22783,52835.46345,10668.00000,682.62014
314,182666.94628,239.027,-0.000,150944.91648,52834.41986,10668.00000,683.44474
315,182458.38191,239.270,-0.000,150736.35472,52833.37319,10668.00000,684.26635
316,182249.56803,239.511,-0.000,150527.54347,52832.32345,10668.00000,685.08496
317,182040.50554,239.752,-0.000,150318.48362,52831.27067,10668.00000,685.90060
318,181831.19534,239.991,-0.000,150109.17608,52830.21486,10668.00000,686.71327
319,181621.63835,240.230,-0.000,149899.62175,52829.15606,10668.00000,687.52298
320,181411.83545,240.468,-0.000,149689.82153,52828.09433,10668.00000,688.32974
321,181201.78755,240.704,-0.000,149479.77632,52827.02971,10668.00000,689.13356
322,180991.49554,240.940,-0.000,149269.48701,52825.96226,10668.00000,689.93445
323,180780.96031,241.176,-0.000,149058.95449,52824.89204,10668.00000,690.73241
324,180570.18275,241.410,-0.000,148848.17965,52823.81909,10668.00000,691.52745
325,180359.16375,241.643,-0.000,148637.16339,52822.74349,10668.00000,692.31957
326,180147.90420,241.875,-0.000,148425.90659,52821.66529,10668.00000,693.10878
327,179936.40499,242.107,-0.000,148214.41013,52820.58455,10668.00000,693.89509
328,179724.66699,242.337,-0.000,148002.67489,52819.50134,10668.00000,694.67849
329,179512.69109,242.567,-0.000,147790.70177,52818.41571,10668.00000,695.45900
330,179300.47817,242.796,-0.000,147578.49163,52817.32771,10668.00000,696.23662
331,179088.02912,243.024,-0.000,147366.04537,52816.23741,10668.00000,697.01136
332,178875.34480,243.256,-1.593,147153.36385,52815.14485,10668.00000,697.78321
333,178662.75887,243.184,-4.645,146940.78044,52814.10601,10666.40654,697.46048
334,178450.38652,243.041,-7.978,146728.40977,52813.22366,10661.76115,696.76017
335,178238.26635,242.891,-11.066,146516.28959,52812.65816,10653.78304,695.93484
336,178026.39176,242.761,-13.689,146304.41250,52812.55635,10642.71723,695.13487
337,177814.73181,242.664,-15.779,146092.74708,52813.01217,10629.02825,694.44198
338,177603.24757,242.604,-17.345,145881.25424,52814.05158,10613.24904,693.88251
339,177391.90335,242.578,-18.432,145669.89852,52815.63509,10595.90433,693.44375
340,177180.67304,242.582,-19.106,145458.65428,52817.67096,10577.47214,693.09072
341,176969.54246,242.607,-19.437,145247.50803,52820.03309,10558.36591,692.78039
